key,sl_no,source_row,boq_group,at_sales_cloud,in_sales_cloud,ramco_erp,rdso,description,uom,markers,duplicate_code,driver_type,driver_ref,driver_label,driver_formula,qty_abs,qty_yard,qty_total
BD090,87,90,,,,101232,,Pre-wired cubicle for 3 BGT,,,,none,,,,0,0,0
BD091,88,91,,,,101233,,Pre-wired cubicle for 4 BGT,,,,none,,,,0,0,0
BD092,89,92,,,,101234,,Pre-wired cubicle for 5 BGT,,!,,none,,,,0,0,0
BD093,90,93,,,,102661,,Prewired cubicle with 1BGT _20U Half cubicle,,,yes,none,,,,0,0,0
BD094,91,94,,,,102662,,Prewired cubicle with 2BGT _20U Half cubicle,,,yes,none,,,,0,0,0
BD095,92,95,,,,101991,,"SK140-010, RSR110-002 GS02, BBK22 1.7227, Connection cable pluggable 5m with protection tube",,@,,none,,,,0,0,0
BD096,93,96,Outdoor,,,102058,,"SK140-011, RSR180-001 GS05, BBIK M12-22 GS02, IN Protection tube 4.8m",,,,none,,,,0,0,0
BD097,94,97,,,,101541,,"SK140-011, RSR180, BBK11, IN Protection tube 4.8m",,@,,none,,,,0,0,0
BD098,95,98,,,,101542,,"SK140-011, RSR180, BBK11, AT Protection tube 4.8m",,@,,none,,,,0,0,0
BD099,96,99,,,,101424,,Connection cable pluggable 5m with protection tube,,!,yes,none,,,,0,0,0
BD100,97,100,,,,102530,,"SK140-012, RSR180-001 GS05, BBK11, AT Protection tube 14.8m",,$,,none,,,,0,0,0
BD101,98,101,,,,102536,,"SK140-010, RSR110-001 GS02, BBK22 1.7227, Connection cable pluggable 5m with protection tube",,@,,none,,,,0,0,0
BD102,99,102,,,,102582,,"SK140-012, RSR180-001 GS05, BBK11, IN Protection tube 4.8m",,$,,none,,,,0,0,0
BD103,100,103,,,,102206,,"SK140-011, RSR180-001 GS05, BBIK M12-22 GS02, AT Protection tube 14.8m",,,,none,,,,0,0,0
BD104,101,104,,,,102227,,"SK140-011, RSR180-001 GS05, BBK22 1.7227, IN Protection tube 4.8m",,,,none,,,,0,0,0
BD105,102,105,,,,102228,,"SK140-011, RSR180-001 GS05, BBK22 1.7227, IN Protection tube 9.8m",,,,none,,,,0,0,0
BD106,103,106,,,,102229,,"SK140-011, RSR180-001 GS05, BBK22 1.7227, AT Protection tube 14.8m",,,,none,,,,0,0,0
BD107,104,107,,,,102657,,"SK140-004, RSR180-001 GS05, BBIK M12 17.5, AT Protection tube 9.8m",,@,,none,,,,0,0,0
BD108,105,108,,,,101198,,"SK140-010, RSR180, BBK22 1.7227, AT Protection tube 4.8m",,@,,none,,,,0,0,0
BD109,106,109,,,,101041,,"SK140-011, RSR180, BBK22 1.7227, IN Protection tube 4.8m",,@,,none,,,,0,0,0
BD110,107,110,,,,101042,,"SK140-011, RSR180, BBK22 1.7227, IN Protection tube 9.8m",,@,,none,,,,0,0,0
BD111,108,111,,,,101199,,"SK140-010, RSR180, BBK22 1.7227, AT Protection tube 9.8m",,@,,none,,,,0,0,0
BD112,109,112,,,,101200,,"SK140-010, RSR180, BBK22 1.7227, AT Protection tube 14.8m",,@,,none,,,,0,0,0
BD113,110,113,,,,102343,,"SK140-011, RSR180-001 GS05, BBK22 1.7227, AT Protection tube 4.8m",,,,none,,,,0,0,0
